firm_id,company,stock_code,board,ipo_year,industry,ai_related_firm,core_density_per_10k,relevant_paragraph_share,reply_has_ai
000001_2020,示例公司001,000001,科创板,2019,制造业,1,3.304717079754431,0.04956652745368322,1
000002_2021,示例公司002,000002,创业板,2020,软件和信息技术服务业,1,1.9600158937595045,0.0635499200191218,0
000003_2022,示例公司003,000003,主板,2021,医药制造业,1,3.7504511958064572,0.054430282400041365,1
000004_2023,示例公司004,000004,北交所,2022,专用设备制造业,1,3.940564716391214,0.04875055804605971,0
000005_2019,示例公司005,000005,科创板,2023,制造业,1,1.0489648113461636,0.04914450125217895,1
000006_2020,示例公司006,000006,创业板,2019,软件和信息技术服务业,1,1.697820493137682,0.03127650686438285,0
000007_2021,示例公司007,000007,主板,2020,医药制造业,1,3.1278404031672853,0.012157248419755759,0
000008_2022,示例公司008,000008,北交所,2021,专用设备制造业,1,2.683757407656418,0.04057021724626537,0
000009_2023,示例公司009,000009,科创板,2022,制造业,1,2.983198842495711,0.025020927097367043,0
000010_2019,示例公司010,000010,创业板,2023,软件和信息技术服务业,1,2.14695607242642,0.03859700506072453,0
000011_2020,示例公司011,000011,主板,2019,医药制造业,1,3.8793979748628287,0.06973821512877164,1
000012_2021,示例公司012,000012,北交所,2020,专用设备制造业,1,3.777791935428948,0.026375764010573857,0
000013_2022,示例公司013,000013,科创板,2021,制造业,1,3.066030697561216,0.014081191918234622,1
000014_2023,示例公司014,000014,创业板,2022,软件和信息技术服务业,1,4.127241206968033,0.029696872441539762,0
000015_2019,示例公司015,000015,主板,2023,医药制造业,1,3.4675093422520455,0.030551563043667858,0
000016_2020,示例公司016,000016,北交所,2019,专用设备制造业,1,2.1407075371167616,0.05633415603088266,1
000017_2021,示例公司017,000017,科创板,2020,制造业,1,3.368750784082499,0.048992250663889486,1
000018_2022,示例公司018,000018,创业板,2021,软件和信息技术服务业,1,2.041117399171001,0.06487287463744895,0
000019_2023,示例公司019,000019,主板,2022,医药制造业,1,3.8784503013072724,0.056501947822917134,0
000020_2019,示例公司020,000020,北交所,2023,专用设备制造业,1,2.950074089013747,0.03844708030080494,1
000021_2020,示例公司021,000021,科创板,2019,制造业,1,2.8151376364547396,0.06698142692662243,1
000022_2021,示例公司022,000022,创业板,2020,软件和信息技术服务业,1,2.3190704555960586,0.021688104393539277,1
000023_2022,示例公司023,000023,主板,2021,医药制造业,1,4.222541338674031,0.011589845119370234,0
000024_2023,示例公司024,000024,北交所,2022,专用设备制造业,1,2.8454705179311977,0.016303350254294923,0
000025_2019,示例公司025,000025,科创板,2023,制造业,1,2.5716721778368927,0.06056515454175153,1
000026_2020,示例公司026,000026,创业板,2019,软件和信息技术服务业,1,2.6478664495117705,0.04233140611759712,1
000027_2021,示例公司027,000027,主板,2020,医药制造业,1,3.532309185553349,0.021289024532352124,0
000028_2022,示例公司028,000028,北交所,2021,专用设备制造业,1,3.365444064364078,0.045073134257235456,0
000029_2023,示例公司029,000029,科创板,2022,制造业,1,3.412732611595988,0.02066184718992179,0
000030_2019,示例公司030,000030,创业板,2023,软件和信息技术服务业,1,3.4308210030078827,0.05874242625544153,1
000031_2020,示例公司031,000031,主板,2019,医药制造业,1,5.141647600870462,0.04123093929018215,0
000032_2021,示例公司032,000032,北交所,2020,专用设备制造业,1,2.5935849836153846,0.03667148582675377,0
000033_2022,示例公司033,000033,科创板,2021,制造业,1,2.4877572709284625,0.031105846240351356,0
000034_2023,示例公司034,000034,创业板,2022,软件和信息技术服务业,1,2.1862272717521223,0.054119781518322196,1
000035_2019,示例公司035,000035,主板,2023,医药制造业,1,3.6159794225754958,0.03532688273873733,0
000036_2020,示例公司036,000036,北交所,2019,专用设备制造业,1,4.128972292720892,0.01613549435212707,0
000037_2021,示例公司037,000037,科创板,2020,制造业,1,2.886052542345125,0.018260413148436072,0
000038_2022,示例公司038,000038,创业板,2021,软件和信息技术服务业,1,2.159843523037472,0.07733283651846602,0
000039_2023,示例公司039,000039,主板,2022,医药制造业,1,2.1755187843087604,0.07360064834953249,1
000040_2019,示例公司040,000040,北交所,2023,专用设备制造业,1,3.650592787824701,0.05897949936675247,0
000041_2020,示例公司041,000041,科创板,2019,制造业,1,3.7432541712034424,0.02861089730216637,0
000042_2021,示例公司042,000042,创业板,2020,软件和信息技术服务业,1,3.543154268305195,0.07784234641434068,1
000043_2022,示例公司043,000043,主板,2021,医药制造业,1,2.3344902927113056,0.06451256327760563,0
000044_2023,示例公司044,000044,北交所,2022,专用设备制造业,1,3.2321613230667197,0.0601823132411297,1
000045_2019,示例公司045,000045,科创板,2023,制造业,1,3.116685809140728,0.041455305150065215,1
000046_2020,示例公司046,000046,创业板,2019,软件和信息技术服务业,1,3.218688596729013,0.029056909329161135,0
000047_2021,示例公司047,000047,主板,2020,医药制造业,1,3.8714287779481897,0.016747367350744953,1
000048_2022,示例公司048,000048,北交所,2021,专用设备制造业,1,3.223595548774682,0.07318216775806892,0
000049_2023,示例公司049,000049,科创板,2022,制造业,1,3.678913563071895,0.04190434028835278,1
000050_2019,示例公司050,000050,创业板,2023,软件和信息技术服务业,1,3.0675790694888914,0.02416543553566612,0
000051_2020,示例公司051,000051,主板,2019,医药制造业,1,3.289119398689984,0.031416963690545675,1
000052_2021,示例公司052,000052,北交所,2020,专用设备制造业,1,3.6312882258385404,0.050545369825932725,1
000053_2022,示例公司053,000053,科创板,2021,制造业,1,1.5428441801443336,0.02237409480574622,1
000054_2023,示例公司054,000054,创业板,2022,软件和信息技术服务业,1,2.6803287836426986,0.06996299988646629,0
000055_2019,示例公司055,000055,主板,2023,医药制造业,1,2.5296273457072047,0.06309636708846471,0
000056_2020,示例公司056,000056,北交所,2019,专用设备制造业,1,2.361122151756658,0.06036240691656558,0
000057_2021,示例公司057,000057,科创板,2020,制造业,1,2.7248577487733163,0.04024651278425726,0
000058_2022,示例公司058,000058,创业板,2021,软件和信息技术服务业,1,4.494941311234395,0.05391161884917103,1
000059_2023,示例公司059,000059,主板,2022,医药制造业,1,2.1341688843067566,0.0508868578238915,0
000060_2019,示例公司060,000060,北交所,2023,专用设备制造业,1,3.968278354591481,0.05548926210883741,1
