firm_id,roa_t1,rev_growth_t1,asset_turnover_t1,ln_assets_preipo,leverage_preipo,firm_age,rd_intensity_preipo,soe,industry,ipo_year
000001_2020,0.03351538712655085,0.07543773101240779,0.7237065103561594,20.4974965439591,0.25650394946218047,12,0.16560078924854432,0,制造业,2019
000002_2021,0.049347487522527045,0.07335918098223439,0.6317053154993219,19.03547116215835,0.35331338136576296,3,0.09447582134215939,0,软件和信息技术服务业,2020
000003_2022,0.03615465933381892,0.10683392276602621,0.5226266740318013,21.456504492067367,0.26496180579761985,23,0.03284237526322045,1,医药制造业,2021
000004_2023,0.012840077415143255,0.16766327021587668,0.723861633099164,24.420415012247403,0.16489387907914352,14,0.07211433874385269,0,专用设备制造业,2022
000005_2019,0.027872583646347343,0.1718357382666266,0.6118178692348544,22.43488427146365,0.7064762751024161,8,0.02141833370412037,0,制造业,2023
000006_2020,0.016329038145274512,0.15796103918009569,0.7235602761359715,21.44042771395051,0.41892439695412287,17,0.044336436407092866,0,软件和信息技术服务业,2019
000007_2021,0.028600956875127655,0.09071297170175287,0.7109402114449209,22.465080209500307,0.3345210434524717,14,0.013003692769985075,0,医药制造业,2020
000008_2022,0.04428782749838631,0.03202145766522506,0.6329133429086853,20.439041647005556,0.509086314934642,3,0.08705758580502777,0,专用设备制造业,2021
000009_2023,0.02774114275067683,0.12681509319461873,0.6088285086573026,21.702676637302364,0.15438867377580937,19,0.1178718450418055,0,制造业,2022
000010_2019,0.02230759605547842,0.12430189934188085,0.8004562075402311,22.09947747301574,0.31681326396048826,11,0.06835971860441431,0,软件和信息技术服务业,2023
000011_2020,0.030112001213582318,0.2037168132197895,0.8981518413481907,21.91389934817895,0.5718200794193355,18,0.0814649011558971,0,医药制造业,2019
000012_2021,0.038977928774472155,0.21104800484819214,0.7247513535762987,22.790806121690082,0.5302618638415577,22,0.1730655763835779,0,专用设备制造业,2020
000013_2022,0.02254696460230456,0.1710497698912816,0.7005157762342927,22.344645226236054,0.7390835685255213,16,0.13783373066773563,0,制造业,2021
000014_2023,0.020256644510893686,0.17891079612337116,0.7118435908761869,22.668326018107997,0.5222146257948264,17,0.1019456282806417,1,软件和信息技术服务业,2022
000015_2019,0.03534137068892868,0.16812439662600215,0.6001173251659422,21.31162771776924,0.4365035241766396,8,0.058371948769010286,0,医药制造业,2023
000016_2020,0.053292168459844615,0.2117203795764063,0.7705580145996817,22.897815408410548,0.6068595379104046,8,0.1624894557914092,0,专用设备制造业,2019
000017_2021,0.028184694181313422,0.09105757523371294,0.5847076078362438,23.62893694762399,0.6919967231784319,12,0.049966509869712114,0,制造业,2020
000018_2022,0.009271155264310386,0.1475715803593012,0.6925850597189354,21.02985048034859,0.582417568031011,21,0.0653082641878351,1,软件和信息技术服务业,2021
000019_2023,0.03410407068876496,0.16302001502823496,0.5918137227117466,21.11230434428544,0.7279267341296277,14,0.16454101845190125,0,医药制造业,2022
000020_2019,0.03814086147345001,0.21328800099424366,0.5821988064642765,23.335784336320234,0.6192031024429063,10,0.1000221493984623,0,专用设备制造业,2023
000021_2020,0.037194337878132075,0.13947924646198684,0.5086048053159379,21.80865601330494,0.6700808629571559,20,0.13619405140105603,0,制造业,2019
000022_2021,0.029393276727773015,0.12575190252038845,0.4264587102509189,23.403821392066558,0.2184624427101823,21,0.11042661500784023,0,软件和信息技术服务业,2020
000023_2022,-0.0022066734719638423,0.10198518829248181,0.5207116515735221,21.557464288107816,0.5894481017962726,22,0.12108466553161416,0,医药制造业,2021
000024_2023,0.02119088510320487,0.13542864969894128,0.6033600279090264,23.455045576270713,0.4140532197164212,9,0.06089515955752035,0,专用设备制造业,2022
000025_2019,0.033954730553048096,0.18561295407654732,0.7893438315952778,22.13148581680545,0.48186228144676513,18,0.05103325047653269,1,制造业,2023
000026_2020,0.011506533409776136,0.04231441366023886,0.7170592888271083,22.258228823322696,0.542461445689414,15,0.06482369901867309,1,软件和信息技术服务业,2019
000027_2021,0.045025382473538614,0.08597405957527253,0.5751598466366981,23.564718021669904,0.7318890700233417,12,0.03642506589418182,0,医药制造业,2020
000028_2022,0.02320701256930549,0.04446106945475567,0.5940042477344678,21.63822952255583,0.7407468488589748,11,0.15863344209943725,1,专用设备制造业,2021
000029_2023,0.037011985752279715,0.028957631689121785,0.6058029082427394,21.058877904075043,0.32293694729274314,5,0.05815197865251939,1,制造业,2022
000030_2019,0.04243135658308117,0.1705091575871385,0.7723772385431853,21.551435791971645,0.5902520984627497,9,0.10545319705044537,0,软件和信息技术服务业,2023
000031_2020,0.02408767802833895,0.14532181837241756,0.5524263809826454,22.452333950643137,0.5999901227611611,15,0.14463565227403358,0,医药制造业,2019
000032_2021,0.04928379757067529,0.16155304271322599,0.7683263454443108,20.434240927819484,0.3578957167878293,22,0.1432500985938713,0,专用设备制造业,2020
000033_2022,0.03799467564156725,0.1768871904176793,0.6681864848108433,22.63747090265112,0.22432186491853262,22,0.08452566395931278,1,制造业,2021
000034_2023,0.02660731220875579,0.1872507846808461,0.6892145488728993,21.461228682382256,0.17456817617143186,7,0.09096374245974335,0,软件和信息技术服务业,2022
000035_2019,0.020627192819544143,0.18015558789356523,0.4620350253224228,23.147812660733564,0.6164058765175071,17,0.17909929731895421,1,医药制造业,2023
